unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U156,Align section-logic-polisher acceptance with real runtime enforcement,CODE,manual-refactor,.codex/skills/section-logic-polisher/scripts/run.py;tooling/quality_gate.py;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv,.codex/skills/section-logic-polisher/scripts/run.py;tooling/quality_gate.py;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv,the repo no longer claims `section-logic-polisher` is a hard PASS gate while runtime treats it as diagnostic-only; either the quality gate blocks on FAIL or the unit acceptance/order is revised to match the real semantics,C5,DONE,U155,CODEX
U158,Refactor front-matter-writer from prose banks to job/hook contracts,CODE,skill-creator,.codex/skills/front-matter-writer/scripts/run.py;.codex/skills/front-matter-writer/assets/front_matter_templates.json;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/sections/S1.md;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/sections/S2.md,.codex/skills/front-matter-writer/scripts/run.py;.codex/skills/front-matter-writer/assets/front_matter_templates.json;.codex/skills/front-matter-writer/assets/front_matter_contract.json,"front-matter generation stops depending on fixed whole-paragraph banks; Introduction/Related Work are generated from job-level constraints plus candidate hooks, and obvious stock narration such as organization boilerplate / methodology-note self-reference / deictic review talk no longer appear by default",C5,DONE,U155,CODEX
U159,Sanitize evidence snippets before writer-context assembly,CODE,manual-refactor,.codex/skills/evidence-draft/scripts/run.py;.codex/skills/writer-context-pack/scripts/run.py;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/outline/evidence_drafts.jsonl,.codex/skills/evidence-draft/scripts/run.py;.codex/skills/writer-context-pack/scripts/run.py;output or asset contract updates,"survey-style source narration such as `In this survey`, `In this work`, project-website boilerplate, and other excerpt self-reference are removed or normalized before they reach writer packs, so subsection writers no longer inherit source-paper narration in reader-facing prose",C5,DONE,U155,CODEX
U160,Tighten writer-selfloop quality semantics for front matter and sparse H3s,CODE,manual-refactor,.codex/skills/writer-selfloop/scripts/run.py;tooling/quality_gate.py;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv,.codex/skills/writer-selfloop/scripts/run.py;tooling/quality_gate.py;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv,front-matter thinness and materially under-cited / underdeveloped H3 bodies block the chain at the right stage instead of surfacing as soft follow-up notes after merge,C5,DONE,U155,CODEX
U161,Fix latex-scaffold placeholder leakage and add fail-fast,CODE,manual-refactor,.codex/skills/latex-scaffold/scripts/run.py;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/latex/main.tex,.codex/skills/latex-scaffold/scripts/run.py;latex QA gate or report updates,LaTeX scaffold no longer leaks `__LATEX_PH_*__` placeholders into `main.tex`; scaffold or compile QA fails fast if placeholder residue remains after markdown-to-TeX conversion,C5,DONE,U155,CODEX
U162,Raise subsection-writer one-shot H3 depth and citation density,CODE,manual-refactor,.codex/skills/subsection-writer/scripts/run.py;.codex/skills/subsection-writer/assets/bootstrap_paragraph_templates.json;.codex/skills/writer-context-pack/scripts/run.py;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/output/WRITER_SELFLOOP_TODO.md,.codex/skills/subsection-writer/scripts/run.py;optional asset updates;validation notes,the clean C5 retest no longer blocks mainly on `sections_h3_sparse_citations` / `sections_h3_too_few_paragraphs`; representative H3 bodies reach the current paragraph-count and local-citation floors without downstream manual patching,C5,DONE,U159;U160,CODEX
U163,Remove planner-talk from front matter openings,CODE,manual-refactor,.codex/skills/front-matter-writer/scripts/run.py;.codex/skills/front-matter-writer/assets/front_matter_templates.json;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/output/DRAFT.md,.codex/skills/front-matter-writer/scripts/run.py;.codex/skills/front-matter-writer/assets/front_matter_templates.json;validation notes,"Abstract / Introduction / Related Work no longer rely on planner-talk or contract-talk such as `shared frame`, `opening contract`, `portable contract`, `front-matter wedge`, repeated chapter-organization narration, or axis-list prose; the latest clean retest front matter should read like paper prose rather than planning artifacts",C5,DOING,U158;U160,CODEX
U164,De-slot subsection-writer sentence templates and snippet clauses,CODE,manual-refactor,.codex/skills/subsection-writer/scripts/run.py;.codex/skills/subsection-writer/assets/bootstrap_paragraph_templates.json;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/output/DRAFT.md,.codex/skills/subsection-writer/scripts/run.py;.codex/skills/subsection-writer/assets/bootstrap_paragraph_templates.json;validation notes,"H3 bodies stop leaning on repeated stems such as `The comparison on ...`, `A concrete anchor for the comparison is ...`, `One limitation that changes how the result should be read is ...`; snippet-derived clauses are normalized into natural prose, the remaining weak H3s (`4.1`, `4.2`, `5.1`, `5.3`) recover enough thickness / citation diversity for writer-selfloop, and subsection openings stop falling back to generic slot narration",C5,DOING,U162,CODEX
U165,Strengthen front-matter and post-merge voice gates for current smell families,CODE,manual-refactor,.codex/skills/post-merge-voice-gate/scripts/run.py;.codex/skills/pipeline-auditor/scripts/run.py;.codex/skills/writer-selfloop/scripts/run.py;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/output/DRAFT.md,.codex/skills/post-merge-voice-gate/scripts/run.py;.codex/skills/pipeline-auditor/scripts/run.py;.codex/skills/writer-selfloop/scripts/run.py,"the repo now blocks on the planner-talk and slot-phrase families currently visible in the latest PASS draft, instead of letting them pass because they avoid older banned stems",C5,TODO,U163;U164,CODEX
U166,De-template chapter-opening glue and keep transitions opt-in,CODE,manual-refactor,.codex/skills/chapter-lead-writer/scripts/run.py;.codex/skills/chapter-lead-writer/assets/lead_block_compatibility_defaults.json;.codex/skills/transition-weaver/scripts/run.py;.codex/skills/section-merger/scripts/run.py;workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest/output/DRAFT.md,.codex/skills/chapter-lead-writer/scripts/run.py;.codex/skills/chapter-lead-writer/assets/lead_block_compatibility_defaults.json;.codex/skills/transition-weaver/scripts/run.py;.codex/skills/section-merger/scripts/run.py;validation notes,"H2 lead blocks and adjacent-subsection glue stop serializing outline labels or `Having framed ...` narration into the draft; generated H3 transitions remain opt-in rather than injected by default",C5,DOING,U163;U164,CODEX
U170,Recalibrate audit_skills for strict Anthropic-style gating,CODE,skill-creator,scripts/audit_skills.py;docs/SKILL_AUDIT_RULES.md,audit gate recalibration outputs,"audit_skills distinguishes real leakage/risk from explicit packs, examples, and explanation text and is usable as a strict gate",C5,TODO,U155,CODEX
U180,Fix workspace-contract drift in agent-survey-corpus,CODE,skill-creator,.codex/skills/agent-survey-corpus/SKILL.md;.codex/skills/agent-survey-corpus/scripts/run.py,workspace-contract cleanup outputs,agent-survey-corpus no longer treats repo root as a normal workspace/output location,C5,TODO,U155,CODEX
U190,Smoke-validate normalized survey contracts on representative topics,QA,manual-validation,pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;scripts/pipeline.py;workspaces/,validation artifacts under workspaces/,"representative embodied-AI validation artifacts exist for both survey variants: the historical MD-first pass at `workspaces/arxiv-survey/embodied-ai-smoke-20260311-r1`, the latex variant pass at `workspaces/latex-survey/embodied-ai-smoke-20260311-r2`, and the current clean retest workspace at `workspaces/arxiv-survey/embodied-ai-smoke-20260312-c5-retest` now serves as the live diagnostic surface. Do not sign this unit off until the latest retest itself returns to real PASS (`WRITER_SELFLOOP_TODO.md` PASS, `AUDIT_REPORT.md` PASS, `LATEX_BUILD_REPORT.md` SUCCESS) after the remaining writer-quality cleanup (`U163/U164/U165/U166`) plus helper-default cleanup (`U150`) close",C5,BLOCKED,U150;U155;U163;U164;U165;U166,CODEX
