title,year,url,arxiv_id,doi,venue,primary_category,categories,pdf_url,source
Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,2026,http://arxiv.org/abs/2601.03785v2,2601.03785v2,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.03785v2,arxiv
Memory Poisoning Attack and Defense on Memory Based LLM-Agents,2026,http://arxiv.org/abs/2601.05504v2,2601.05504v2,,,cs.CR,"cs.CR,cs.MA",https://arxiv.org/pdf/2601.05504v2,arxiv
MindChat: A Privacy-preserving Large Language Model for Mental Health Support,2026,http://arxiv.org/abs/2601.01993v1,2601.01993v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.01993v1,arxiv
Modeling LLM Agent Reviewer Dynamics in Elo-Ranked Review System,2026,http://arxiv.org/abs/2601.08829v1,2601.08829v1,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.08829v1,arxiv
NeuroFilter: Privacy Guardrails for Conversational LLM Agents,2026,http://arxiv.org/abs/2601.14660v1,2601.14660v1,,,cs.CR,"cs.CR,cs.AI,cs.CL",https://arxiv.org/pdf/2601.14660v1,arxiv
Project Ariadne: A Structural Causal Framework for Auditing Faithfulness in LLM Agents,2026,http://arxiv.org/abs/2601.02314v1,2601.02314v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.02314v1,arxiv
ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,2026,http://arxiv.org/abs/2601.06112v1,2601.06112v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.06112v1,arxiv
Replayable Financial Agents: A Determinism-Faithfulness Assurance Harness for Tool-Using LLM Agents,2026,http://arxiv.org/abs/2601.15322v1,2601.15322v1,,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.15322v1,arxiv
"Role-Playing Agents Driven by Large Language Models: Current Status, Challenges, and Future Trends",2026,http://arxiv.org/abs/2601.10122v1,2601.10122v1,,,cs.CL,"cs.CL,cs.AI,cs.HC",https://arxiv.org/pdf/2601.10122v1,arxiv
SimpleMem: Efficient Lifelong Memory for LLM Agents,2026,http://arxiv.org/abs/2601.02553v1,2601.02553v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.02553v1,arxiv
Structured Personality Control and Adaptation for LLM Agents,2026,http://arxiv.org/abs/2601.10025v1,2601.10025v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.10025v1,arxiv
SwarmFoam: An OpenFOAM Multi-Agent System Based on Multiple Types of Large Language Models,2026,http://arxiv.org/abs/2601.07252v1,2601.07252v1,,,cs.MA,cs.MA,https://arxiv.org/pdf/2601.07252v1,arxiv
Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework,2026,http://arxiv.org/abs/2601.11893v1,2601.11893v1,,,cs.CR,cs.CR,https://arxiv.org/pdf/2601.11893v1,arxiv
The Confidence Dichotomy: Analyzing and Mitigating Miscalibration in Tool-Use Agents,2026,http://arxiv.org/abs/2601.07264v1,2601.07264v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.07264v1,arxiv
Too Helpful to Be Safe: User-Mediated Attacks on Planning and Web-Use Agents,2026,http://arxiv.org/abs/2601.10758v1,2601.10758v1,,,cs.CR,cs.CR,https://arxiv.org/pdf/2601.10758v1,arxiv
ToolPRMBench: Evaluating and Advancing Process Reward Models for Tool-using Agents,2026,http://arxiv.org/abs/2601.12294v1,2601.12294v1,,,cs.AI,"cs.AI,cs.SE",https://arxiv.org/pdf/2601.12294v1,arxiv
Towards Verifiably Safe Tool Use for LLM Agents,2026,http://arxiv.org/abs/2601.08012v1,2601.08012v1,,,cs.SE,cs.SE,https://arxiv.org/pdf/2601.08012v1,arxiv
Understanding Multi-Agent Reasoning with Large Language Models for Cartoon VQA,2026,http://arxiv.org/abs/2601.03073v1,2601.03073v1,,,cs.CV,cs.CV,https://arxiv.org/pdf/2601.03073v1,arxiv
VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,2026,http://arxiv.org/abs/2601.05755v2,2601.05755v2,,,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2601.05755v2,arxiv
VirtualCrime: Evaluating Criminal Potential of Large Language Models via Sandbox Simulation,2026,http://arxiv.org/abs/2601.13981v1,2601.13981v1,,,cs.CR,cs.CR,https://arxiv.org/pdf/2601.13981v1,arxiv
Visual and Cognitive Demands of a Large Language Model-Powered In-vehicle Conversational Agent,2026,http://arxiv.org/abs/2601.15034v1,2601.15034v1,,,cs.HC,"cs.HC,cs.AI",https://arxiv.org/pdf/2601.15034v1,arxiv
What Do LLM Agents Know About Their World? Task2Quiz: A Paradigm for Studying Environment Understanding,2026,http://arxiv.org/abs/2601.09503v1,2601.09503v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.09503v1,arxiv
When Agents Fail: A Comprehensive Study of Bugs in LLM Agents with Automated Labeling,2026,http://arxiv.org/abs/2601.15232v1,2601.15232v1,,,cs.SE,cs.SE,https://arxiv.org/pdf/2601.15232v1,arxiv
Who Does This Name Remind You of? Nationality Prediction via Large Language Model Associative Memory,2026,http://arxiv.org/abs/2601.12771v1,2601.12771v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.12771v1,arxiv
mind_call: A Dataset for Mental Health Function Calling with Large Language Models,2026,http://arxiv.org/abs/2601.06937v1,2601.06937v1,,,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2601.06937v1,arxiv
$\textit{Agents Under Siege}$: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,2025,http://arxiv.org/abs/2504.00218v2,2504.00218v2,,,cs.MA,"cs.MA,cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2504.00218v2,arxiv
3DLLM-Mem: Long-Term Spatial-Temporal Memory for Embodied 3D Large Language Model,2025,http://arxiv.org/abs/2505.22657v2,2505.22657v2,,,cs.CV,"cs.CV,cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2505.22657v2,arxiv
A Cascading Cooperative Multi-agent Framework for On-ramp Merging Control Integrating Large Language Models,2025,http://arxiv.org/abs/2503.08199v2,2503.08199v2,,,cs.CV,"cs.CV,cs.AI,cs.LG",https://arxiv.org/pdf/2503.08199v2,arxiv
"A Comprehensive Survey in LLM(-Agent) Full Stack Safety: Data, Training and Deployment",2025,http://arxiv.org/abs/2504.15585v4,2504.15585v4,,,cs.CR,"cs.CR,cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2504.15585v4,arxiv
A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,2025,http://arxiv.org/abs/2502.15871v2,2502.15871v2,,,cs.CY,"cs.CY,cs.AI,cs.CL",https://arxiv.org/pdf/2502.15871v2,arxiv
A Concurrent Modular Agent: Framework for Autonomous LLM Agents,2025,http://arxiv.org/abs/2508.19042v1,2508.19042v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2508.19042v1,arxiv
A Data Synthesis Method Driven by Large Language Models for Proactive Mining of Implicit User Intentions in Tourism,2025,http://arxiv.org/abs/2505.11533v1,2505.11533v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2505.11533v1,arxiv
A Large Language Model-Empowered Agent for Reliable and Robust Structural Analysis,2025,http://arxiv.org/abs/2507.02938v1,2507.02938v1,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2507.02938v1,arxiv
A Large Language Model-Enabled Control Architecture for Dynamic Resource Capability Exploration in Multi-Agent Manufacturing Systems,2025,http://arxiv.org/abs/2505.22814v2,2505.22814v2,,,cs.MA,"cs.MA,cs.AI",https://arxiv.org/pdf/2505.22814v2,arxiv
A Large Language Model-based Multi-Agent Framework for Analog Circuits' Sizing Relationships Extraction,2025,http://arxiv.org/abs/2506.18424v1,2506.18424v1,,,cs.AI,"cs.AI,cs.ET",https://arxiv.org/pdf/2506.18424v1,arxiv
A Large-Language-Model Assisted Automated Scale Bar Detection and Extraction Framework for Scanning Electron Microscopic Images,2025,http://arxiv.org/abs/2510.11260v1,2510.11260v1,,,cs.CV,"cs.CV,cond-mat.mtrl-sci,cs.AI,physics.data-an",https://arxiv.org/pdf/2510.11260v1,arxiv
A Lightweight Large Language Model-Based Multi-Agent System for 2D Frame Structural Analysis,2025,http://arxiv.org/abs/2510.05414v1,2510.05414v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2510.05414v1,arxiv
A Longitudinal Measurement of Privacy Policy Evolution for Large Language Models,2025,http://arxiv.org/abs/2511.21758v1,2511.21758v1,,,cs.CR,"cs.CR,cs.AI,cs.CY",https://arxiv.org/pdf/2511.21758v1,arxiv
A Modular LLM-Agent System for Transparent Multi-Parameter Weather Interpretation,2025,http://arxiv.org/abs/2512.11819v1,2512.11819v1,,,cs.CY,cs.CY,https://arxiv.org/pdf/2512.11819v1,arxiv
A Multi-Agent Framework for Automated Qinqiang Opera Script Generation Using Large Language Models,2025,http://arxiv.org/abs/2504.15552v1,2504.15552v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2504.15552v1,arxiv
A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,2025,http://arxiv.org/abs/2509.14285v4,2509.14285v4,,,cs.CR,"cs.CR,cs.LG",https://arxiv.org/pdf/2509.14285v4,arxiv
A Multi-Agent Large Language Model Framework for Automated Qualitative Analysis,2025,http://arxiv.org/abs/2512.16063v1,2512.16063v1,,,cs.HC,"cs.HC,cs.AI",https://arxiv.org/pdf/2512.16063v1,arxiv
A Multi-Agent Pokemon Tournament for Evaluating Strategic Reasoning of Large Language Models,2025,http://arxiv.org/abs/2508.01623v1,2508.01623v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2508.01623v1,arxiv
A Multi-LLM-Agent-Based Framework for Economic and Public Policy Analysis,2025,http://arxiv.org/abs/2502.16879v1,2502.16879v1,,,cs.AI,"cs.AI,econ.GN",https://arxiv.org/pdf/2502.16879v1,arxiv
A Multidisciplinary Design and Optimization (MDO) Agent Driven by Large Language Models,2025,http://arxiv.org/abs/2511.17511v1,2511.17511v1,,,cs.HC,"cs.HC,cs.AI",https://arxiv.org/pdf/2511.17511v1,arxiv
A New Query Expansion Approach via Agent-Mediated Dialogic Inquiry,2025,http://arxiv.org/abs/2502.08557v3,2502.08557v3,,,cs.IR,"cs.IR,cs.CL,cs.LG,cs.MA",https://arxiv.org/pdf/2502.08557v3,arxiv
A Novel Architecture for Symbolic Reasoning with Decision Trees and LLM Agents,2025,http://arxiv.org/abs/2508.05311v1,2508.05311v1,,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2508.05311v1,arxiv
A Plan Reuse Mechanism for LLM-Driven Agent,2025,http://arxiv.org/abs/2512.21309v2,2512.21309v2,,,cs.MA,cs.MA,https://arxiv.org/pdf/2512.21309v2,arxiv
"A Survey of AI for Materials Science: Foundation Models, LLM Agents, Datasets, and Tools",2025,http://arxiv.org/abs/2506.20743v1,2506.20743v1,,,cs.LG,"cs.LG,cs.CE",https://arxiv.org/pdf/2506.20743v1,arxiv
A Survey of Attacks on Large Language Models,2025,http://arxiv.org/abs/2505.12567v1,2505.12567v1,,,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2505.12567v1,arxiv
A Survey of Context Engineering for Large Language Models,2025,http://arxiv.org/abs/2507.13334v2,2507.13334v2,,,cs.CL,cs.CL,https://arxiv.org/pdf/2507.13334v2,arxiv
A Survey of LLM $\times$ DATA,2025,http://arxiv.org/abs/2505.18458v3,2505.18458v3,,,cs.DB,"cs.DB,cs.AI,cs.CL,cs.IR,cs.LG",https://arxiv.org/pdf/2505.18458v3,arxiv
A Survey of Large Language Model Agents for Question Answering,2025,http://arxiv.org/abs/2503.19213v1,2503.19213v1,,,cs.CL,"cs.CL,cs.AI,cs.HC",https://arxiv.org/pdf/2503.19213v1,arxiv
A Survey of Large Language Model Empowered Agents for Recommendation and Search: Towards Next-Generation Information Retrieval,2025,http://arxiv.org/abs/2503.05659v2,2503.05659v2,,,cs.IR,cs.IR,https://arxiv.org/pdf/2503.05659v2,arxiv
"A Survey of Large Language Models in Discipline-specific Research: Challenges, Methods and Opportunities",2025,http://arxiv.org/abs/2507.08425v1,2507.08425v1,10.24846/v34i1y202501,"Lu XIANG, Yang ZHAO, Yaping ZHANG, Chengqing ZONG, ""A Survey of Large Language Models in Discipline-specific Research: Challenges, Methods and Opportunities"", Studies in Informatics and Control, ISSN 1220-1766, vol. 34(1), pp. 5-24, 2025",cs.CL,cs.CL,https://arxiv.org/pdf/2507.08425v1,arxiv
A Survey of Personalized Large Language Models: Progress and Future Directions,2025,http://arxiv.org/abs/2502.11528v2,2502.11528v2,,,cs.AI,cs.AI,https://arxiv.org/pdf/2502.11528v2,arxiv
A Survey of Scaling in Large Language Model Reasoning,2025,http://arxiv.org/abs/2504.02181v1,2504.02181v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2504.02181v1,arxiv
A Survey of Scientific Large Language Models: From Data Foundations to Agent Frontiers,2025,http://arxiv.org/abs/2508.21148v2,2508.21148v2,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2508.21148v2,arxiv
A Survey of Vibe Coding with Large Language Models,2025,http://arxiv.org/abs/2510.12399v2,2510.12399v2,,,cs.AI,cs.AI,https://arxiv.org/pdf/2510.12399v2,arxiv
A Survey on Agentic Multimodal Large Language Models,2025,http://arxiv.org/abs/2510.10991v1,2510.10991v1,,,cs.CV,"cs.CV,cs.AI,cs.CL",https://arxiv.org/pdf/2510.10991v1,arxiv
A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency,2025,http://arxiv.org/abs/2505.01658v3,2505.01658v3,,,cs.CL,cs.CL,https://arxiv.org/pdf/2505.01658v3,arxiv
A Survey on Large Language Model Benchmarks,2025,http://arxiv.org/abs/2508.15361v1,2508.15361v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2508.15361v1,arxiv
A Survey on Multi-Turn Interaction Capabilities of Large Language Models,2025,http://arxiv.org/abs/2501.09959v1,2501.09959v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2501.09959v1,arxiv
A Survey on Trustworthy LLM Agents: Threats and Countermeasures,2025,http://arxiv.org/abs/2503.09648v1,2503.09648v1,,,cs.MA,"cs.MA,cs.CY",https://arxiv.org/pdf/2503.09648v1,arxiv
A Survey on the Optimization of Large Language Model-based Agents,2025,http://arxiv.org/abs/2503.12434v1,2503.12434v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2503.12434v1,arxiv
A Theory of Adaptive Scaffolding for LLM-Based Pedagogical Agents,2025,http://arxiv.org/abs/2508.01503v1,2508.01503v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2508.01503v1,arxiv
A Vision for Auto Research with LLM Agents,2025,http://arxiv.org/abs/2504.18765v3,2504.18765v3,,,cs.AI,cs.AI,https://arxiv.org/pdf/2504.18765v3,arxiv
A closer look at how large language models trust humans: patterns and biases,2025,http://arxiv.org/abs/2504.15801v1,2504.15801v1,,,cs.CL,"cs.CL,cs.AI,cs.CY",https://arxiv.org/pdf/2504.15801v1,arxiv
A-MEM: Agentic Memory for LLM Agents,2025,http://arxiv.org/abs/2502.12110v11,2502.12110v11,,,cs.CL,"cs.CL,cs.HC",https://arxiv.org/pdf/2502.12110v11,arxiv
