section_id	section_title	paper_id	why
3.1	Manipulation, navigation, and task scope	P0283	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, architecture, comparison) in the paper title/abstract. (also mapped 1× already)
3.1	Manipulation, navigation, and task scope	P0089	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, data, design) in the paper title/abstract. (also mapped 1× already)
3.1	Manipulation, navigation, and task scope	P0182	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, data, datasets) in the paper title/abstract. (also mapped 1× already)
3.1	Manipulation, navigation, and task scope	P0202	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (navigation, benchmarks, datasets) in the paper title/abstract. (also mapped 1× already)
3.1	Manipulation, navigation, and task scope	P0278	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, explicit, limitations) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0005	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, benchmarks, datasets) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0019	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, datasets, embodiment) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0050	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, core, cost) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0051	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, constraints, core) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0165	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, evaluation, how) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0170	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, human, manipulation) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0265	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (navigation, system, when) in the paper title/abstract. (also mapped 3× already)
3.2	Observation, action, and embodiment interfaces	P0076	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, embodiment, action) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0212	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, embodiment, action) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0172	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, embodiment, action) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0065	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, choices) in the paper title/abstract. (also mapped 2× already)
3.2	Observation, action, and embodiment interfaces	P0004	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, compute) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0173	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0023	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0043	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (interfaces, action, constraints) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0115	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, data) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0116	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, design) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0079	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, data) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0007	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, data) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0088	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0029	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0275	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0014	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, data) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0052	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, interface) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0057	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, embodiment) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0100	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, core) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0118	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, constraints) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0295	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, benchmarks) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0300	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, explicit) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0033	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0154	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0040	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0058	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.2	Observation, action, and embodiment interfaces	P0026	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (action, action, architecture) in the paper title/abstract.
3.2	Observation, action, and embodiment interfaces	P0265	Matches subsection 'Observation, action, and embodiment interfaces' via shared terms (system, tasks, when) in the paper title/abstract. (also mapped 4× already)
3.3	Task diversity, environment realism, and transfer constraints	P0149	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, benchmarks, core) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0095	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (transfer, architecture, data) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0076	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (transfer, constraints, cost) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0103	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, benchmarks, core) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0182	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (diversity, data, datasets) in the paper title/abstract. (also mapped 2× already)
3.3	Task diversity, environment realism, and transfer constraints	P0122	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, benchmarks, compute) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0185	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, benchmarks, environment) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0252	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, data, datasets) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0159	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (diversity, data, diversity) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0002	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (transfer, data, evaluation) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0172	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (transfer, benchmarks, core) in the paper title/abstract. (also mapped 2× already)
3.3	Task diversity, environment realism, and transfer constraints	P0287	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (comparison, core, data) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0270	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (environment, environment, evaluation) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0196	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (transfer, benchmarks, evaluation) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0069	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (datasets, design, how) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0281	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (data, diversity, environment) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0268	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, data, mechanism) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0061	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (cues, data, environment) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0066	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, needs, problem) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0240	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (architecture, data, datasets) in the paper title/abstract.
3.3	Task diversity, environment realism, and transfer constraints	P0054	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (architecture, core, data) in the paper title/abstract. (also mapped 2× already)
3.3	Task diversity, environment realism, and transfer constraints	P0008	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (constraints, core, data) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0014	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, data, datasets) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0043	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (constraints, constraints, data) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0004	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (compute, data, datasets) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0129	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (task, diversity, settings) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0259	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (data, datasets, environment) in the paper title/abstract. (also mapped 1× already)
3.3	Task diversity, environment realism, and transfer constraints	P0265	Matches subsection 'Task diversity, environment realism, and transfer constraints' via shared terms (system, when, will) in the paper title/abstract. (also mapped 5× already)
4.1	Vision-language-action and policy backbones	P0037	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0088	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, policy) in the paper title/abstract. (also mapped 2× already)
4.1	Vision-language-action and policy backbones	P0039	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0100	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, policy) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0016	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0018	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0020	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0102	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0023	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0148	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0277	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0009	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0048	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0113	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0114	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0181	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0005	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0115	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0118	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0212	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract. (also mapped 1× already)
4.1	Vision-language-action and policy backbones	P0044	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0091	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0106	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0117	Matches subsection 'Vision-language-action and policy backbones' via shared terms (language, policy, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0176	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0207	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0127	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, language, vision) in the paper title/abstract.
4.1	Vision-language-action and policy backbones	P0266	Matches subsection 'Vision-language-action and policy backbones' via shared terms (action, model, policy) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0152	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, action) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0246	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, data) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0199	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, action) in the paper title/abstract. (also mapped 1× already)
4.2	World models, planning, and reasoning	P0161	Matches subsection 'World models, planning, and reasoning' via shared terms (world, action, environment) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0186	Matches subsection 'World models, planning, and reasoning' via shared terms (world, action, control) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0058	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, action) in the paper title/abstract. (also mapped 2× already)
4.2	World models, planning, and reasoning	P0123	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, action) in the paper title/abstract. (also mapped 1× already)
4.2	World models, planning, and reasoning	P0084	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, concrete) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0105	Matches subsection 'World models, planning, and reasoning' via shared terms (reasoning, action, control) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0163	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, control) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0239	Matches subsection 'World models, planning, and reasoning' via shared terms (models, control, data) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0287	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, comparison) in the paper title/abstract. (also mapped 2× already)
4.2	World models, planning, and reasoning	P0284	Matches subsection 'World models, planning, and reasoning' via shared terms (planning, constraints, control) in the paper title/abstract. (also mapped 1× already)
4.2	World models, planning, and reasoning	P0011	Matches subsection 'World models, planning, and reasoning' via shared terms (models, action, constraints) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0012	Matches subsection 'World models, planning, and reasoning' via shared terms (models, action, constraints) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0205	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, control) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0128	Matches subsection 'World models, planning, and reasoning' via shared terms (models, action, architecture) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0133	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, control) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0089	Matches subsection 'World models, planning, and reasoning' via shared terms (models, planning, control) in the paper title/abstract. (also mapped 2× already)
4.2	World models, planning, and reasoning	P0151	Matches subsection 'World models, planning, and reasoning' via shared terms (world, action, benchmarks) in the paper title/abstract. (also mapped 1× already)
4.2	World models, planning, and reasoning	P0112	Matches subsection 'World models, planning, and reasoning' via shared terms (world, action, data) in the paper title/abstract. (also mapped 1× already)
4.2	World models, planning, and reasoning	P0160	Matches subsection 'World models, planning, and reasoning' via shared terms (models, data, evaluation) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0036	Matches subsection 'World models, planning, and reasoning' via shared terms (models, action, benchmarks) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0109	Matches subsection 'World models, planning, and reasoning' via shared terms (reasoning, action, architecture) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0184	Matches subsection 'World models, planning, and reasoning' via shared terms (models, evaluation, how) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0222	Matches subsection 'World models, planning, and reasoning' via shared terms (models, world, data) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0231	Matches subsection 'World models, planning, and reasoning' via shared terms (models, data, environment) in the paper title/abstract.
4.2	World models, planning, and reasoning	P0266	Matches subsection 'World models, planning, and reasoning' via shared terms (world, action, control) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0076	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (transfer, across, architectures) in the paper title/abstract. (also mapped 2× already)
4.3	Transfer across embodiments and viewpoints	P0150	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, concrete, data) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0003	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, architecture, data) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0236	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (failure, how, identify) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0095	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (transfer, architecture, data) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0104	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, benchmarks, cues) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0002	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (transfer, data, evaluation) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0077	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (architectures, data, datasets) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0153	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, benchmarks, data) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0055	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, core, design) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0198	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (architectures, data, datasets) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0210	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, embodiments, how) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0289	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, across, human) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0032	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, choices, core) in the paper title/abstract. (also mapped 2× already)
4.3	Transfer across embodiments and viewpoints	P0041	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, architecture, benchmarks) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0216	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, architecture, architectures) in the paper title/abstract. (also mapped 1× already)
4.3	Transfer across embodiments and viewpoints	P0031	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, data, datasets) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0147	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (constraints, efficiency, human) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0042	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, architecture, datasets) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0093	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, core, data) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0094	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (cost, data, human) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0213	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, benchmarks, datasets) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0136	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (cost, data, failure) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0013	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (data, datasets, how) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0250	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, data, how) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0146	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, data, datasets) in the paper title/abstract.
4.3	Transfer across embodiments and viewpoints	P0008	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (across, constraints, core) in the paper title/abstract. (also mapped 2× already)
4.3	Transfer across embodiments and viewpoints	P0266	Matches subsection 'Transfer across embodiments and viewpoints' via shared terms (model, policy, transfer) in the paper title/abstract. (also mapped 2× already)
5.1	Pretraining data and supervision	P0063	Matches subsection 'Pretraining data and supervision' via shared terms (data, concrete, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0194	Matches subsection 'Pretraining data and supervision' via shared terms (data, constraints, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0065	Matches subsection 'Pretraining data and supervision' via shared terms (choices, data, datasets) in the paper title/abstract.
5.1	Pretraining data and supervision	P0054	Matches subsection 'Pretraining data and supervision' via shared terms (architecture, core, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0168	Matches subsection 'Pretraining data and supervision' via shared terms (data, data, datasets) in the paper title/abstract.
5.1	Pretraining data and supervision	P0298	Matches subsection 'Pretraining data and supervision' via shared terms (supervision, benchmarks, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0025	Matches subsection 'Pretraining data and supervision' via shared terms (data, data, how) in the paper title/abstract.
5.1	Pretraining data and supervision	P0271	Matches subsection 'Pretraining data and supervision' via shared terms (benchmarks, cover, cues) in the paper title/abstract.
5.1	Pretraining data and supervision	P0123	Matches subsection 'Pretraining data and supervision' via shared terms (pretraining, architecture, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0288	Matches subsection 'Pretraining data and supervision' via shared terms (data, data, human) in the paper title/abstract.
5.1	Pretraining data and supervision	P0032	Matches subsection 'Pretraining data and supervision' via shared terms (choices, core, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0006	Matches subsection 'Pretraining data and supervision' via shared terms (benchmarks, core, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0096	Matches subsection 'Pretraining data and supervision' via shared terms (data, data, human) in the paper title/abstract.
5.1	Pretraining data and supervision	P0202	Matches subsection 'Pretraining data and supervision' via shared terms (benchmarks, datasets, efficiency) in the paper title/abstract.
5.1	Pretraining data and supervision	P0059	Matches subsection 'Pretraining data and supervision' via shared terms (data, benchmarks, data) in the paper title/abstract.
5.1	Pretraining data and supervision	P0070	Matches subsection 'Pretraining data and supervision' via shared terms (cost, data, efficiency) in the paper title/abstract.
5.1	Pretraining data and supervision	P0150	Matches subsection 'Pretraining data and supervision' via shared terms (concrete, data, datasets) in the paper title/abstract.
5.1	Pretraining data and supervision	P0151	Matches subsection 'Pretraining data and supervision' via shared terms (benchmarks, data, evaluation) in the paper title/abstract.
